relationship_type,source_ref,target_ref
uses,intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,malware--b42378e0-f147-496f-992a-26a49705395b
uses,malware--8ec6e3b4-b06d-4805-b6aa-af916acc2122,attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179
uses,malware--0f862b01-99da-47cc-9bdb-db4a86a95bb1,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
uses,malware--1492d0f8-7e14-4af3-9239-bc3fe10d3407,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa
uses,malware--7e100ca4-e639-48d9-9a9d-8ad84aa7b448,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
mitigates,course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,attack-pattern--67073dde-d720-45ae-83da-b12d5e73ca3b
uses,malware--c46eb8e6-bf29-4696-8008-3ddb0b4ca470,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
uses,intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9
mitigates,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--8868cb5b-d575-4a60-acb2-07d37389a2fd
mitigates,course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
uses,malware--5c747acd-47f0-4c5a-b9e5-213541fc01e0,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
uses,malware--d906e6f7-434c-44c0-b51a-ed50af8f7945,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,malware--0b32ec39-ba61-4864-9ebe-b4b0b73caf9a,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
uses,intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736
detects,x-mitre-data-component--74fa567d-bc90-425c-8a41-3c703abb221c,attack-pattern--70d81154-b187-45f9-8ec5-295d01255979
uses,malware--d9f7383c-95ec-4080-bbce-121c9384457b,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0
uses,malware--4efc3e00-72f2-466a-ab7c-8a7dc6603b19,attack-pattern--4bed873f-0b7d-41d4-b93a-b6905d1f90b0
uses,intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18
uses,malware--cb741463-f0fe-42e0-8d45-bc7e8335f5ae,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67
uses,malware--4dea7d8e-af94-4bfb-afe4-7ff54f59308b,attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541
uses,campaign--8d2bc130-89fe-466e-a4f9-6bce6129c2b8,malware--a394448a-4576-41b8-81cc-9b61abad94ab
uses,malware--d69c8146-ab35-4d50-8382-6fc80e641d43,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18
subtechnique-of,attack-pattern--8d7bd4f5-3a89-4453-9c82-2c8894d5655e,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
uses,tool--cb69b20d-56d0-41ab-8440-4a4b251614d4,attack-pattern--f1951e8a-500e-4a26-8803-76d95c4554b4
uses,intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a
mitigates,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,attack-pattern--8f504411-cb96-4dac-a537-8d2bb7679c59
uses,malware--edb24a93-1f7a-4bbf-a738-1397a14662c6,attack-pattern--f7827069-0bf2-4764-af4f-23fae0d181b7
uses,malware--a7881f21-e978-4fe4-af56-92c9416a2616,attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0
detects,x-mitre-data-component--235b7491-2d2b-4617-9a52-3c0783680f71,attack-pattern--8d7bd4f5-3a89-4453-9c82-2c8894d5655e
uses,intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,attack-pattern--e7cbc1de-1f79-48ee-abfd-da1241c65a15
uses,malware--eac3d77f-2b7b-4599-ba74-948dc16633ad,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72
uses,malware--af2ad3b7-ab6a-4807-91fd-51bcaff9acbb,attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec
uses,malware--ff6840c9-4c87-4d07-bbb6-9f50aa33d498,attack-pattern--3b744087-9945-4a6f-91e8-9dbceda417a4
mitigates,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
uses,malware--a8a778f5-0035-4870-bb25-53dc05029586,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
mitigates,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--57a3d31a-d04f-4663-b2da-7df8ec3f8c9d
detects,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d
uses,intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,malware--5be33fef-39c0-4532-84ee-bea31e1b5324
uses,intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,attack-pattern--dfebc3b7-d19d-450b-81c7-6dafe4184c04
uses,malware--82cb34ba-02b5-432b-b2d2-07f55cbf674d,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
uses,malware--fb4e3792-e915-4fdd-a9cd-92dfa2ace7aa,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
uses,malware--f9b05f33-d45d-4e4d-aafe-c208d38a0080,attack-pattern--677569f9-a8b0-459e-ab24-7f18091fa7bf
uses,intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
uses,malware--cc5497f7-a9e8-436f-94da-b2b4a9b9ad3c,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
uses,campaign--808d6b30-df4e-4341-8248-724da4bac650,attack-pattern--1f9c2bae-b441-4f66-a8af-b65946ee72f2
uses,malware--a7881f21-e978-4fe4-af56-92c9416a2616,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082
uses,intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,tool--3ffbdc1f-d2bf-41ab-91a2-c7b857e98079
uses,malware--63686509-069b-4143-99ea-4e59cad6cb2a,attack-pattern--c877e33f-1df6-40d6-b1e7-ce70f16f4979
uses,malware--0715560d-4299-4e84-9e20-6e80ab57e4f2,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
uses,malware--4b346d12-7f91-48d2-8f06-b26ffa0d825b,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
mitigates,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--4ffc1794-ec3b-45be-9e52-42dbcb2af2de
detects,x-mitre-data-component--d5fca4e4-e47a-487b-873f-3d22f8865e96,attack-pattern--544b0346-29ad-41e1-a808-501bb4193f47
uses,intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
uses,intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,malware--9020f5c7-efde-4125-a4f1-1b70f1274ddd
uses,campaign--808d6b30-df4e-4341-8248-724da4bac650,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65
uses,malware--0c52f5bc-557d-4083-bd27-66d7cdb794bb,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
uses,malware--a8a778f5-0035-4870-bb25-53dc05029586,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
uses,intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377
uses,malware--a545456a-f9a7-47ad-9ea6-8b017def38d1,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
uses,malware--b00f90b6-c75c-4bfd-b813-ca9e6c9ebf29,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
uses,malware--925a6c52-5cf0-4fec-99de-b0d6917d8593,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662
uses,intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,tool--f59508a6-3615-47c3-b493-6676e1a39a87
uses,malware--579607c2-d046-40df-99ab-beb479c37a2a,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
detects,x-mitre-data-component--a953ca55-921a-44f7-9b8d-3d40141aa17e,attack-pattern--1d24cdee-9ea2-4189-b08e-af110bf2435d
uses,malware--7e6c2a9d-9dc1-4eb0-b27c-91e8076a9d77,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72
detects,x-mitre-data-component--ff93f688-d7a4-49cf-9c79-a14454da8428,attack-pattern--1f9c2bae-b441-4f66-a8af-b65946ee72f2
uses,intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
uses,intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,malware--123bd7b3-675c-4b1a-8482-c55782b20e2b
uses,malware--6b62e336-176f-417b-856a-8552dd8c44e1,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896
uses,intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
detects,x-mitre-data-component--0dcbbf4f-929c-489a-b66b-9b820d3f7f0e,attack-pattern--e5d550f3-2202-4634-85f2-4a200a1d49b3
uses,malware--8c1d01ff-fdc0-4586-99bd-c248e0761af5,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
detects,x-mitre-data-component--9ce98c86-8d30-4043-ba54-0784d478d0b5,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f
uses,intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54
uses,malware--7acb15b6-fe2c-4319-b136-6ab36ff0b2d4,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4
uses,malware--af2ad3b7-ab6a-4807-91fd-51bcaff9acbb,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
detects,x-mitre-data-component--9bde2f9d-a695-4344-bfac-f2dce13d121e,attack-pattern--ea016b56-ae0e-47fe-967a-cc0ad51af67f
uses,malware--5763217a-05b6-4edd-9bca-057e47b5e403,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
detects,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,attack-pattern--cc89ecbd-3d33-4a41-bcca-001e702d18fd
detects,x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,attack-pattern--d456de47-a16f-4e46-8980-e67478a12dcb
uses,malware--d79e7a60-5de9-448e-a074-f95d2d80f8d0,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
uses,malware--06d735e7-1db1-4dbe-ab4b-acbe419f902b,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18
uses,malware--67e6d66b-1b82-4699-b47a-e2efb6268d14,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62
detects,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,attack-pattern--f5d8eed6-48a9-4cdf-a3d7-d1ffa99c3d2a
uses,malware--d3afa961-a80c-4043-9509-282cdf69ab21,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
uses,malware--a8d3d497-2da9-4797-8e0b-ed176be08654,attack-pattern--f0589bc3-a6ae-425a-a3d5-5659bfee07f4
uses,malware--8f423bd7-6ca7-4303-9e85-008c7ad5fdaa,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18
uses,tool--cb69b20d-56d0-41ab-8440-4a4b251614d4,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
mitigates,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,attack-pattern--d456de47-a16f-4e46-8980-e67478a12dcb
uses,malware--00806466-754d-44ea-ad6f-0caf59cb8556,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,malware--0db09158-6e48-4e7c-8ce7-2b10b9c0c039,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
uses,malware--6ba1d7ae-d60b-43e6-9f08-a8b787e9d9cb,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
uses,malware--8a59f456-79a0-4151-9f56-9b1a67332af2,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,attack-pattern--ae797531-3219-49a4-bccf-324ad7a4c7b2
uses,intrusion-set--5cbe0d3b-6fb1-471f-b591-4b192915116d,malware--9e9b9415-a7df-406b-b14d-92bfe6809fbe
uses,malware--91c57ed3-7c32-4c68-b388-7db00cb8dac6,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
uses,malware--c13d9621-aca7-436b-ab3d-3a95badb3d00,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082
uses,campaign--f9cc545e-b0ef-4b92-8884-a3a4427609f6,tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d
uses,intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
uses,intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,malware--432555de-63bf-4f2a-a3fa-f720a4561078
uses,malware--cb444a16-3ea5-4a91-88c6-f329adcb8af3,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,malware--bdb27a1d-1844-42f1-a0c0-826027ae0326,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
uses,intrusion-set--d13c8a7f-740b-4efa-a232-de7d6bb05321,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18
uses,intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67
detects,x-mitre-data-component--da85d358-741a-410d-9433-20d6269a6170,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4
uses,tool--362dc67f-4e85-4562-9dac-1b6b7f3ec4b5,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
uses,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,attack-pattern--edf91964-b26e-4b4a-9600-ccacd7d7df24
uses,malware--198db886-47af-4f4c-bff5-11b891f85946,attack-pattern--f5946b5e-9408-485f-a7f7-b5efc88909b6
uses,malware--f25aab1a-0cef-4910-a85d-bb38b32ea41a,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72
uses,malware--edf5aee2-9b1c-4252-8e64-25b12f14c8b3,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
uses,malware--6b62e336-176f-417b-856a-8552dd8c44e1,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580
uses,intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,attack-pattern--cba37adb-d6fb-4610-b069-dd04c0643384
uses,malware--222ba512-32d9-49ac-aefd-50ce981ce2ce,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
uses,tool--afc079f3-c0ea-4096-b75d-3f05338b7f60,attack-pattern--f303a39a-6255-4b89-aecc-18c4d8ca7163
uses,malware--579607c2-d046-40df-99ab-beb479c37a2a,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a
uses,intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,attack-pattern--b4694861-542c-48ea-9eb1-10d356e7140a
uses,campaign--8d2bc130-89fe-466e-a4f9-6bce6129c2b8,malware--be25c1c0-1590-4219-a3d5-6f31799d1d1b
uses,malware--0f862b01-99da-47cc-9bdb-db4a86a95bb1,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
uses,malware--ab3580c8-8435-4117-aace-3d9fbe46aa56,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,malware--60d50676-459a-47dd-92e9-a827a9fe9c58,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579
uses,malware--8ec6e3b4-b06d-4805-b6aa-af916acc2122,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
uses,tool--03342581-f790-4f03-ba41-e82e67392e23,attack-pattern--b6075259-dba3-44e9-87c7-e954f37ec0d5
uses,malware--b350b47f-88fe-4921-8538-6d9c59bac84e,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
uses,malware--56aa3c82-ed40-4b5a-84bf-7231356d9e96,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
uses,intrusion-set--32bca8ff-d900-4877-aa65-d70baa041b74,tool--b76b2d94-60e4-4107-a903-4a3a7622fb3b
uses,malware--471d0e9f-2c8a-4e4b-8f3b-f85d2407806e,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
detects,x-mitre-data-component--685f917a-e95e-4ba0-ade1-c7d354dae6e0,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d
uses,intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4
uses,malware--f01e2711-4b48-4192-a2e8-5f56c945ca19,attack-pattern--24bfaeba-cb0d-4525-b3dc-507c77ecec41
uses,intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,attack-pattern--d336b553-5da9-46ca-98a8-0b23f49fb447
uses,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,malware--ae9d818d-95d0-41da-b045-9cabea1ca164
mitigates,course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,attack-pattern--937e4772-8441-4e4a-8bf0-8d447d667e23
uses,malware--2eaa5319-5e1e-4dd7-bbc4-566fced3964a,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0
uses,tool--e33267fe-099f-4af2-8730-63d49f8813b2,attack-pattern--f2877f7f-9a4c-4251-879f-1224e3006bee
mitigates,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,attack-pattern--e5cc9e7a-e61a-46a1-b869-55fb6eab058e
uses,malware--8d242fb4-9033-4f13-8a88-4b9b4bcd9a53,attack-pattern--f5d8eed6-48a9-4cdf-a3d7-d1ffa99c3d2a
mitigates,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,attack-pattern--2db31dcd-54da-405d-acef-b9129b816ed6
uses,malware--f4d8a2d6-c684-453a-8a14-cf4a94f755c5,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
uses,malware--4ab44516-ad75-4e43-a280-705dc0420e2f,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
uses,malware--e2d34c63-6f5a-41f5-86a2-e2380f27f858,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
mitigates,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
uses,intrusion-set--129f2f77-1ab2-4c35-bd5e-21260cee92af,malware--99fdf3b4-96ef-4ab9-b191-fc683441cad0
uses,intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,attack-pattern--2b5aa86b-a0df-4382-848d-30abea443327
uses,campaign--4553292d-12c6-4a93-934d-12160370d4e0,attack-pattern--65013dd2-bc61-43e3-afb5-a14c4fa7437a
detects,x-mitre-data-component--45977f14-1bcc-4ec4-ac14-a30fd3a11f44,attack-pattern--d4bdbdea-eaec-4071-b4f9-5105e12ea4b6
detects,x-mitre-data-component--faa34cf6-cf32-4dc9-bd6a-8f7a606ff65b,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
mitigates,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d
uses,malware--99164b38-1775-40bc-b77b-a2373b14540a,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
uses,intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597
uses,campaign--aa73efef-1418-4dbe-b43c-87a498e97234,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67
uses,campaign--b03d5112-e23a-4ac8-add0-be7502d24eff,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90
detects,x-mitre-data-component--9ce98c86-8d30-4043-ba54-0784d478d0b5,attack-pattern--b4409cd8-0da9-46e1-a401-a241afd4d1cc
detects,x-mitre-data-component--7f70fae7-a68d-4730-a83a-f260b9606129,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
uses,malware--04378e79-4387-468a-a8f7-f974b8254e44,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,malware--088f1d6e-0783-47c6-9923-9c79b2af43d4,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
uses,malware--8dbadf80-468c-4a62-b817-4e4d8b606887,attack-pattern--82caa33e-d11a-433a-94ea-9b5a5fbef81d
uses,malware--b96680d1-5eb3-4f07-b95c-00ab904ac236,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
mitigates,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--ebb42bbe-62d7-47d7-a55f-3b08b61d792d
uses,malware--67e6d66b-1b82-4699-b47a-e2efb6268d14,attack-pattern--7b211ac6-c815-4189-93a9-ab415deca926
uses,malware--df9b350b-d4f9-4e79-a826-75cc75fbc1eb,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597
detects,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5
uses,intrusion-set--39d6890e-7f23-4474-b8ef-e7b0343c5fc8,malware--44c75271-0e4d-496f-ae0a-a6d883a42a65
uses,malware--e401d4fe-f0c9-44f0-98e6-f93487678808,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
uses,intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
uses,malware--bbcd7a02-ef24-4171-ac94-a93540173b94,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba
uses,intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,attack-pattern--774ad5bb-2366-4c13-a8a9-65e50b292e7c
detects,x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,attack-pattern--5b0ad6f8-6a16-4966-a4ef-d09ea6e2a9f5
uses,malware--727afb95-3d0f-4451-b297-362a43909923,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0
uses,intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,attack-pattern--4bc31b94-045b-4752-8920-aebaebdb6470
uses,malware--5faaf81a-aa5b-4a4b-bae5-522439e068f8,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
uses,intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
uses,intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
uses,malware--88c621a7-aef9-4ae0-94e3-1fc87123eb24,attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65
detects,x-mitre-data-component--5c6de881-bc70-4070-855a-7a9631a407f7,attack-pattern--f303a39a-6255-4b89-aecc-18c4d8ca7163
uses,intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,malware--00806466-754d-44ea-ad6f-0caf59cb8556
uses,malware--b8fdef82-d2cf-4948-8949-6466357b1be1,attack-pattern--d10cbd34-42e3-45c0-84d2-535a09849584
uses,intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0
uses,malware--db1355a7-e5c9-4e2c-8da7-eccf2ae9bf5c,attack-pattern--7c0f17c9-1af6-4628-9cbd-9e45482dd605
uses,malware--4b072c90-bc7a-432b-940e-016fc1c01761,attack-pattern--a782ebe2-daba-42c7-bc82-e8e9d923162d
uses,intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,tool--5a63f900-5e7e-4928-a746-dd4558e1df71
uses,malware--c984b414-b766-44c5-814a-2fe96c913c12,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
uses,tool--b1595ddd-a783-482a-90e1-8afc8d48467e,attack-pattern--cc3502b5-30cc-4473-ad48-42d51a6ef6d1
uses,intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6
uses,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,tool--6dbdc657-d8e0-4f2f-909b-7251b3e72c6d
subtechnique-of,attack-pattern--c3c8c916-2f3c-4e71-94b2-240bdfc996f0,attack-pattern--51a14c76-dd3b-440b-9c20-2bf91d25a814
uses,malware--36801ffb-5c85-4c50-9121-6122e389366d,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
